SMILES,Y1,Y2,Y3,Y4
Clc1ccccc1-c1nc(-c2ccccc2)n[nH]1,2.821307893273869,2.9883028295458933,0,3
COc1ccccc1C(c1nnnn1C(C)(C)C)N1CCN(Cc2ccncc2)CC1,2.8508329192756063,6.6837489009209,1,3
CCC(c1nnnn1CC1CCCO1)N(CCN1CCOCC1)Cc1cc2cc(C)ccc2[nH]c1=O,5.736976920306295,8.153246946937152,1,1
Br.N=c1n(CCN2CCOCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1,1.6988483934855214,9.007979021157455,0,3
COc1ccc(/C(O)=C2/C(=O)C(=O)N(CCCC(=O)O)C2c2ccc(OC)cc2)cc1,5.58720154641616,0.10530117698383523,0,1
CCC(C)(C)NC(=O)c1ccc2c(c1)N(CC(=O)OC)C(=O)C(C)(C)O2,1.529431419726216,1.3254084523413978,1,3
Cc1ccc2cc(C)c3nnc(SCC(=O)NCc4ccco4)n3c2c1,9.266198099207449,2.2254490913128686,0,2
O=C(c1ccc2c(c1)OCCO2)C1CCN(S(=O)(=O)c2ccccc2F)CC1,4.26771171810041,5.769896433682841,0,3
CCOC(=O)N1CCN(S(=O)(=O)Cc2ccccc2)CC1,6.434831385219004,6.350842600879058,0,5
FC(F)(F)c1ccc(N2CCN(c3cc(-c4ccccc4)nc4ncnn34)CC2)nc1,6.127840551790725,9.771549771136533,0,4
CCOC(=O)C(NC(C)=O)C(OC(C)=O)c1cccc(N(CCO)CCO)c1,9.483196377907202,7.944721598092695,1,0
CN(C)C=C1C(=O)N(C2CCCCC2)C(=O)N(C2CCCCC2)C1=O,5.36427025001016,4.9416533799802504,1,2
CC(C(=O)NC1CCCC1)N(C(=O)c1snc(C(N)=O)c1N)c1ccc2c(c1)OCCO2,2.755007870881138,3.485143268548796,0,5
Cc1ccc(-c2cnc(NC(=O)CCC(=O)N3CCCCC3)n2C)cc1,3.192173169534509,3.6672726840431515,0,3
Cc1cc(C)n(-c2nc3c(c(=O)[nH]c(=O)n3C)n2C(C)C)n1,4.064045341592216,4.112271046019642,1,4
CC1(CCC#N)N=C(SCCC#N)N(c2ccccc2)C1=O,6.068985830818843,2.5285381515088154,0,2
Cc1ccccc1OCC(=O)Nc1ccc(N2CCN(C(=O)C(C)C)CC2)c(Cl)c1,5.695873046007963,8.658357955659646,1,3
Cl.O=C(CN1CCN(c2ncccn2)CC1)NCCC1=CCCCC1,6.229705641461081,0.7100607395206759,1,5
O=C(Nc1cccc(NC(=O)N2CCN(c3ccccc3)CC2)c1)N1CCN(c2ccccc2)CC1,4.089080239998757,0.1487109015683008,0,2
CC(=O)NC1(c2cccc(F)c2)CCN(CC(=O)NC2CCCCC2)CC1,8.155140625862689,0.013735407259546362,0,3
Cc1ccc(Cl)cc1N1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,4.269241055225273,8.792648672264429,0,0
CCOc1cccc(C2C(C(=O)c3ccc(C)o3)=C(O)C(=O)N2Cc2ccncc2)c1,6.225449383890867,0.07581128509532964,0,1
COc1cc2cc(CN(CCCO)S(=O)(=O)c3ccccc3Cl)c(=O)[nH]c2cc1OC,4.831946720322452,2.8852840727915385,1,2
CC(C)Cn1c(-c2ccc(Cl)cc2)cnc1SCC(=O)N1CCOCC1,9.277624205093,1.552419181076089,0,4
CCc1cc2c(NCCO)ncnc2s1,1.1642620980035934,3.093963172205455,1,0
Cc1cc(C)n(-c2nc3c(c(=O)[nH]c(=O)n3C)n2CC(C)C)n1,6.072112002947339,9.527367029853297,1,0
CCN(CC)c1ccc2c(Cl)c(Br)c(=O)oc2c1,0.4068880631914551,4.890098562018521,0,5
O=C1CC(c2cccs2)c2cc3c(cc2N1)OCO3,2.0802396938379983,8.135357264025183,1,3
COCCNC(=O)C(c1ccc(C)o1)N(CC1CCCO1)C(=O)Cn1nnc2ccccc21,3.5722357696469675,6.379759777939672,1,5
O=C(O)CCn1nnc(-c2cccs2)n1,9.761839115224621,2.889328476687444,1,5
O=C(CSc1nc2ccccc2o1)Nc1ccccc1N1CCCCCC1,4.5989350742906465,7.74054452755005,1,2
O=C(Cc1cccs1)N1CCC(c2nc3c(nnn3Cc3ccccc3Cl)c(=O)[nH]2)CC1,3.912766862796909,0.8681015525297653,1,5
COc1ccccc1OCCn1cc(C(=O)c2ccco2)c2ccccc21,7.083783678047235,9.00547697383212,0,4
COc1cccc(C(=O)NC2CC3CCCC(C2)N3CC(=O)Nc2ccccc2)c1.Cl,5.54629276936658,4.979705935503591,1,1
Cc1ccc(-c2csc(N3CCC(NS(=O)(=O)c4ccc5c(c4)OCCO5)CC3)n2)cc1,4.3501839939180185,5.536737735031752,0,2
COc1ccc(S(=O)(=O)N2CCC(NC(=O)Nc3ccc(C)cc3)CC2)cc1,9.789489197840863,4.024477139380948,1,5
CCCCNC(=O)NS(=O)(=O)c1ccc(C(=O)OC(C)C)o1,8.71989797852745,1.5254014723374087,0,1
Cc1ccc(C(=O)C2CCNCC2)cc1.Cl,5.980530838717314,2.543138242389399,1,3
CCOc1ccc(C(=O)N2CCCC2C(=O)O)cc1,1.719841127375914,5.412103083124596,0,1
COc1ccc(CCNc2c(C)c(C)nc3ncnn23)cc1,5.77618348899546,9.358281053936436,1,0
COc1ccc(-c2cc(C(F)F)nc(-n3nc(C)cc3C)n2)cc1,0.27037812025461294,6.607466229931024,0,1
CCOC(=O)N1CCN(C(=O)c2ccc(Cl)c(S(=O)(=O)N3CCOCC3)c2)CC1,6.465848062200411,7.41744847010974,1,4
Cc1ccc(Cn2nnc3c(=O)[nH]c(C4CCN(C(=O)Cc5cccs5)CC4)nc32)cc1,1.9720427206151547,9.453373637632797,0,2
CCC(=O)N(Cc1ccco1)c1nc(-c2ccccc2)cs1,6.013385024562897,5.147645074590605,0,0
Cc1cc(NC(=O)CCC(=O)N2CCC3(CC2)OCCO3)no1,9.253936236774848,1.521558851753011,0,0
O=C(Nc1cnc2ccccc2c1)c1cccc(-n2cnnn2)c1,1.349341971007848,7.134713084982799,1,2
O=C(CNC(=O)c1ccco1)OCc1c(F)cccc1Cl,6.641281821453503,6.715615628473579,1,1
O=C(CSc1nnc(-c2cccnc2)o1)Oc1ccccc1,2.02447037569764,1.725249482167558,1,3
CCOC(=O)CSc1n[nH]c(-c2cccnc2)n1,7.493417642436068,6.003096544624567,0,2
CC(=O)Nc1ccc(-c2ccccc2)s1,7.141657236934104,3.18474197248762,1,0
